,Category,Note
1166,transportation,train 2 place 0 to tb returns
1167,food,snacks gupta bhel
1168,food,milk half lit  milk
1169,food,ice cream chocobar
1173,food,milk milk 1lit 
1174,food,ice cream chocobar
1179,food,rajgira ladu 2 packets
1181,household,kirana 
1182,food,beverage sugarcane juice
1183,food,snacks vadapav
1184,transportation,bus 2 place 3m to mumbai vidyapeeth
1185,transportation,train 2 place 0 to place 3 returns
1186,transportation,auto 2 current residence to place 0
1187,food,grocery pizza base packet - patil dairy
1188,food,eggs 4 eggs
1189,food,milk milk 1lit 
1192,food,dinner paneer mutter rs.90+ 5 chapati rs.25
1193,food,grocery 2 kg onion 30/kg + 1 kg potato 30/kg + parle biscuit rs 10
1194,food,dinner veg fried rice 1 full
1197,food,lunch catering service (1 bhaji 30 + 3 chapti 15)
1199,food,grocery dalich peeth pav kg
1200,subscription,edtech course 
1201,transportation,auto place 1 bridge to current residence 2 seats
1202,food,bread 
1203,food,milk milk 1lit 
1205,subscription,newspaper 
1206,food,ice cream 7 mava kulfie
1208,transportation,travels 2 place 2 to place 1 - shree sharma travels
1216,shopping,grooming shaving
1217,transportation,auto place 2 station to hospital 2 seat
1218,transportation,train 2 place 0 to tilaknagar single side
1219,transportation,auto 2 current residence to place 0
1220,food,lunch chicken lollypop 4 pcs
1221,food,grocery 5rs mirchi + crack-jack
1226,health,medicine cough-sills 4 pcs
1227,food,snacks 2 kachori
1228,food,grocery dahi 2 packets
1229,food,milk milk 1lit 
1230,transportation,train place 0 to ws return
1231,food,milk milk 1lit 
1232,food,grocery shengdane pav kg
1234,food,milk milk 1lit 
1236,food,eating out taco bell veg combo
1237,transportation,train 2 place 0 to ws returns
1238,transportation,auto 2 current residence to place 0
1240,food,grocery shev bhaji sev pav kg
1241,food,flour mill m d sure 3kg atta
1242,food,grocery amul malai paneer pav kg
1243,food,breakfast bread
1244,food,milk milk 1lit 
1245,transportation,bus h to kala circle
1246,transportation,bus kala circle to h
1247,food,milk milk 1lit 
1249,food,milk milk 1lit 
1252,food,milk milk 1lit 
1253,shopping,grooming hair cut
1254,food,milk milk 1lit 
1255,health,medicine covaxin booster dose
1256,transportation,train 2 kushinagar express (ltt to place 2)
1257,subscription,newspaper toi
1260,transportation,auto 2 place 0 to current residence
1261,transportation,auto 2 current residence to place 0
1262,entertainment,movie 2 tickets - cinepolis 4dx 3d
1263,food,breakfast bread
1264,food,milk milk 1lit 
1265,food,eggs 6 pcs
1266,household,kitchen sanjori mould
1269,food,snacks 2 veg puff
1270,food,milk milk 1lit 
1271,food,dinner chicken biryani 120+ dal rice 60
1272,food,chocolate 2 cadbury dairy milk
1273,health,medicine 3 sinarest
1274,health,medicine sofy antibacterial
1278,food,vegetables pav kg simla mirch 20 + hari mirch 5
1279,food,milk milk 1lit 
1280,food,beverage sugarcane juice
1281,household,kirana supermart
1282,food,lunch non veg overloaded pizza
1283,subscription,edtech course 
1284,food,snacks vadapav
1285,food,flour mill m d sure 3kg atta
1286,food,snacks 2 kachori
1287,food,milk milk 1lit 
1292,shopping,clothing undergarments pair of jockey
1294,food,dinner 5 chapati
1295,transportation,auto 2 place 0 to current residence
1296,food,beverage slice + pepsi
1297,food,lunch 2 veg frankie
1298,household,kitchen crockery
1299,food,tea 2 tea
1300,transportation,train 2 place 0 to place p return
1301,transportation,auto 2 current residence to place 0
1302,food,grocery half kg potato + half kg banana
1304,food,milk milk 1lit 
1305,household,kirana 
1306,food,snacks 2 kachori
1307,food,vegetables 
1308,food,grocery mango 1 kg
1309,food,grocery 
1310,food,vegetables 
1311,food,breakfast medu vada 1 plate + dal vada 1
1312,food,milk milk 1lit 
1314,food,vegetables pav kg tomato
1315,food,snacks ragda puri
1316,transportation,train place 0 to vikhroli single
1317,subscription,cable tv 
1318,food,snacks samosa pav @ kurla
1319,transportation,train place 0 to vikhroli return
1320,food,milk milk 1lit 
1321,food,snacks gupta bhel
1322,household,kirana rasna orange
1324,food,flour mill m d sure 2kg atta
1325,household,appliances 3 pin holder
1326,food,beverage coke 750ml
1327,food,beverage sugarcane juice
1329,transportation,train 2 place 0 to place 4 return
1330,transportation,auto 2 current residence to place 0
1331,food,flour mill 3 kg ( 2kg bajari rs 7 each + 1kg gahu & maka mix rs.10)
1332,transportation,auto decathlon to station
1333,subscription,cable tv monthly recharge
1334,food,dinner pav bhaji + 5 pav extra
1335,food,tea 
1336,food,vegetables 
1337,food,lunch bhai poli
1338,food,breakfast poha
1339,shopping,grooming shaving
1340,food,milk milk 1lit 
1341,food,tea 
1342,food,tea 
1343,food,ice cream vanila family pack
1344,food,lunch full egg fried rice 100 + manchurian dry 100
1345,food,tea 
1346,food,tea 
1347,shopping,grooming razor blade
1348,food,lunch non veg combo meal
1349,food,tea 
1350,subscription,newspaper march 210 + april 170
1351,food,dinner veg cheese grill sandwich
1352,food,breakfast poha 25+ tea 10
1353,household,kirana shev bhaji sev
1354,food,lunch non veg overloaded pizza
1355,food,dinner non veg overloaded pizza
1356,food,tea 
1357,food,lunch 4 chapati
1358,food,tea 
1359,food,breakfast medu vada 1 plate
1360,food,tea 
1361,food,lunch 4 chapati
1362,food,tea 
1364,food,lunch full egg fried rice 100 + chicken lollypop 4 pcs 130
1365,subscription,tata sky 
1366,food,tea 
1367,shopping,grooming body hair removal cream
1371,food,dinner 4 chapati
1372,food,snacks sweet bread cake 85 + veg puff 2
1373,food,lunch dudhi 30 + 3 chapati
1374,food,breakfast tea + 2 kachori
1377,food,ice cream cornetto butterscotch
1378,food,tea 
1379,food,dinner 4 chapati
1380,food,lunch chana masala 30 + 3 chapati
1381,food,dinner egg fry + chicken lollypop
1382,food,breakfast poha 25+ tea 10
1383,food,dinner aloo mutter sabji
1384,food,snacks chicken manchow soup
1385,subscription,mobile service provider no daily limit plan ( 25 gb 30 days)
1386,food,breakfast double omlet pav + tea
1388,food,dinner 5 chapati
1389,food,snacks veg puff
1390,food,tea 
1391,food,lunch paneer masala + hara bhara kabab 6 pcs
1392,food,dinner bhendi masala 30 + 3 chapati
1393,food,beverage sugarcane juice
1394,food,breakfast bread
1397,subscription,mobile service provider no daily limit plan ( 25 gb 30 days)
1398,transportation,auto place 0 to current residence
1399,transportation,train 40 place 0 to place 3 return+ 20 single
1400,transportation,auto 2 current residence to place 0
1401,transportation,train place 0 to place 6 return
1402,household,kitchen gas stove elica 3 burner
1404,transportation,train place 3 to place 2 sevagram
1405,subscription,edtech course 
1406,health,medicine q-dee strip
1407,shopping,footwear puma troy mu running shoes
1408,food,tea 2 cups
1409,food,milk milk 1lit 
1411,food,dinner 2 fried rice
1412,transportation,auto 2 place 0 to current residence
1413,transportation,train 2 place 0 to ws single
1414,transportation,auto 2 current residence to place 0
1415,shopping,clothing shorts for family
1416,shopping,clothing h&m tshirt for family
1418,food,flour mill m d sure 1kg atta
1421,food,ice cream chocobar
1423,transportation,auto 2 place 0 to current residence
1424,food,fruits 6 bananas
1425,food,dinner chicken lollypop 8 pcs
1426,food,snacks 2 pani puri+ 1 samosa chat
1427,food,grocery chota bread
1428,food,milk milk 1lit 
1429,food,ice cream cup of butterscotch (20) + chocobar (10)
1430,subscription,netflix 1 month subscription
1431,food,milk milk 1lit 
1433,food,snacks 2 kachori
1434,transportation,auto place 6 station to college
1435,transportation,train 2 place 0 to place 6 return
1436,transportation,auto 2 current residence to place 0
1437,food,milk milk 1lit 
1439,food,vegetables ladyfinger pav kg
1440,food,snacks 2 veg puff
1441,food,beverage sugarcane juice
1442,transportation,train place 0 to vikhroli return
1443,food,grocery milk 1 lit (64) + paneer (75) + bread (30) + 6 eggs (36)
1444,health,medicine q-dee strip
1445,subscription,cable tv monthly recharge
1446,household,kirana smart point
1447,food,milk milk 1lit 
1448,food,ice cream raspberry dolly
1449,food,milk milk 1lit 
1450,food,"dinner the x restaurant, place 1"
1452,subscription,tata sky 
1454,food,breakfast 8 pcs meduvada + 4 pcs dal vada + sambar + chatni
1455,food,beverage sugarcane juice
1459,transportation,train place 6 to place 2 - 3tier ac cancellation charges
1462,food,ice cream chocobar (25)+ chocolate cup (20)
1463,food,snacks 1 chicken shawarma
1464,subscription,edtech course 
1465,food,snacks egg roll
1466,food,grocery half kg potato
1467,food,grocery sambar masala (32)+ 2 milkybar
1471,transportation,train 2 place 0 to dadar return
1472,transportation,taxi siddhivinayak to shiv sena bhavan
1473,transportation,taxi dadar west to siddhivinayak
1474,food,lunch ( pav bhaji + 2 extra pav + sabudana khichdi + kothimbir vada + masala bhat + piyush )
1475,transportation,auto place 4 station to place 4 plaza
1476,household,hardware laptop repair (servicing+ 2gb ram upgrade + fan replacement + antivirus)
1477,transportation,auto place 0 to current residence
1478,transportation,auto 2 current residence to place 0
1480,household,kirana 
1481,food,beverage soda water
1482,household,appliances usb cord
1483,food,milk milk 1lit 
1484,household,kirana smart
1485,food,milk milk 1 lit
1486,food,grocery dahi 2 packets
1488,health,medicine tablet
1489,health,medicine jel
1490,transportation,travels place 2 to place 1
1491,health,hospital doctor fees
1492,food,milk milk 1 lit
1494,food,beverage 3 sugarcane juice
1496,transportation,auto 2 place 0 to current residence
1497,transportation,auto 
1498,household,furniture mattress advance
1499,transportation,auto within city
1500,transportation,bus 2 place 6 to place 7
1501,transportation,train 2 place 0 to ws returns
1502,transportation,auto 2 current residence to place 0
1503,transportation,travels place 6 to place 2
1504,household,appliances 2 spike guard
1505,subscription,mobile service provider mobile service provider freedom pack
1506,food,snacks 2 samosa (32) + 25 pani puri
1507,food,grocery 
1508,food,fruits grapes + apple + guava
1510,subscription,wifi internet service 6 months ( 30mb ul plan + 1 month free)
1511,household,kitchen drainage powder
1512,household,kirana 2 toast+ 2 parle g + marie gold
1513,food,ice cream 2 softy
1514,household,hardware 2 bath stool
1515,food,grocery 
1516,household,hardware wall hanging clipboard
1517,shopping,grooming hair cut
1518,household,hardware ceiling fans repair
1519,transportation,auto 2 place 0 to current residence
1520,food,beverage 2 sugarcane juice
1521,food,lunch pav bhaji pav(90) + 4 pav extra(40)
1522,entertainment,movie 2 batman tickets
1523,transportation,train 2 place 0 to place 4 return
1524,transportation,auto 2 current residence to place 0
1525,transportation,auto 2 place 0 to current residence
1526,transportation,train 2 place 0 to ws returns
1527,food,snacks bhel + shev puri
1528,food,grocery 1.5 lit milk + 3 cold drink + 1 khari + 1 bread
1529,transportation,travels 2 place 2 to place 1
1530,subscription,mobile service provider mobile service provider freedom pack
1531,food,milk milk 1lit 
1532,food,snacks 3 plate kachori
1535,food,beverage 2 orange juices
1536,food,grocery 2 schwan chutteny + 2 cheese cube + amul butter
1537,food,ice cream naturals
1538,food,fruits 1 kg apple + grapes 0.5 kg
1539,food,grocery 
1540,food,ice cream vanilla ice cream cups 2
1541,food,milk milk 1lit 
1543,subscription,edtech course 
1544,food,milk milk 1lit 
1545,food,breakfast 2 plate medu vada + 2 pcs dal vada
1546,shopping,footwear footwear repair
1547,household,toiletries plastic kharata + brush
1548,food,grocery 
1549,transportation,auto place 0 to sec 21
1550,food,beverage sugarcane juice 2
1551,transportation,train place 0 to place 6 return 2
1552,transportation,auto current residence to place 0
1555,food,ice cream vanilla ice cream cups 2
1556,food,grocery milk 1 lit + butter milk + srikhand pav kg
1557,household,hardware measuring tape
1560,transportation,taxi within city
1562,food,grocery sabudana + rajgira ladu
1563,transportation,auto place 0 to current residence
1564,transportation,train 2 place 3m to vadala rd
1565,transportation,bus best 138 - marine drive to place 3m
1566,food,tea 
1568,food,dinner at restaurant
1569,transportation,train 2 santacruz to churchgate
1570,food,breakfast sugarcane juice 2
1571,transportation,auto share auto - mumbai university kalina to santacruz station
1572,transportation,auto current residence to place 0
1573,transportation,train 2 santacruz return
1574,transportation,auto santacruz to kalina university
1575,transportation,train 2 tb return
1576,transportation,auto place 0 to current residence
1577,transportation,auto current residence to place 0
1578,food,lunch 6 chapati(8 rs) + half rice
1579,household,appliances 3 wall clock cell
1580,food,milk milk 1lit  + amul butter milk
1581,transportation,train place 0 to ws returns
1582,transportation,auto current residence to place 0
1583,household,kirana 
1584,household,kitchen dustbin + basin sink cover
1585,food,snacks 2 jumbo king burger
1586,household,appliances exide inverter battery 150amp
1587,household,appliances tube and inverter fitting
1588,household,kitchen hp cylinder
1589,food,dinner veg paneer tikka 4 roti
1590,subscription,tata sky 
1591,food,lunch veg triple schwan fried rice
1592,food,grocery milk 1 lit + butter milk
1593,food,tea 3 tea yevle amrutullya
1594,food,lunch at restaurant
1595,food,ice cream 2 vanilla + 2 butterscotch
1597,transportation,taxi place 2 to place 1
1598,food,snacks pav vada
1600,food,beverage sugarcane juice 2
1602,shopping,clothing undergarments pair of jockey
1604,subscription,mobile service provider mobile service provider recharge wfh
1607,subscription,mobile service provider mobile service provider recharge wfh
1610,food,snacks single pav vada
1616,food,fruits half kg chiku
1617,food,fruits 1 kg apple
1618,food,grocery vegetables
1619,food,grocery jira + toast pav kilo
1620,transportation,auto within city
1621,food,tea 
1622,transportation,bus n to m
1625,shopping,laundry clothes ironing
1626,food,beverage 5 pouch of shreejal
1627,food,snacks samosa + sabudana vada
1628,food,milk half liter buffalo
1629,health,medicine meftal spas
1630,food,dinner parath + chicken biryani
1631,food,beverage shreejal 1
1632,food,breakfast parle top biscuits
1633,food,snacks chicken roll
1634,subscription,edtech course 
1635,food,dinner at restaurant
1636,subscription,mobile service provider mobile service provider recharge wfh
1637,subscription,mobile service provider mobile service provider recharge wfh
1638,food,milk half liter buffalo
1642,food,milk half liter buffalo
1643,food,milk half liter buffalo
1644,food,snacks single pav vada
1645,food,dinner 3 parathe ( 80 mix veg + 70 methi + 100 paneer aloo)
1646,food,snacks cheese chilli toast sandwich 1
1647,food,snacks 2 shegaon kachori (nasik)
1648,food,breakfast brown bread
1649,food,milk half liter buffalo
1650,transportation,auto within city
1651,transportation,bus 2 tickets place 2 to n
1652,transportation,auto within city
1653,subscription,tata sky 
1656,food,grocery 
1657,subscription,mobile service provider mobile service provider recharge
1658,subscription,mobile service provider mobile service provider recharge wfh
1659,food,snacks 2 bombay vada pav
1661,transportation,auto ghroad to permanent residence
1662,household,furniture chair pair
1664,food,grocery chole + shev
1665,food,grocery fruits and vegetables + kirana
1666,food,grocery 3 chips packets + bread
1667,health,medicine adulsa ( tonic for cough )
1670,food,fruits 1 kg apple + bananas
1671,food,grocery himalaya soap(30) + sofie (59) + kitkat (10)
1672,shopping,grooming hair cut+shaving
1673,subscription,netflix 1 month subscription
1674,transportation,auto place 2 bus stand to permanent residence
1675,food,snacks woffel
1676,transportation,auto current residence to hotel on highway
1678,transportation,travels place 1 to place 2 - novelty tour and travels
1679,food,dinner veg paneer tikka 3 roti
1680,food,milk milk 0.5 lit 
1681,household,appliances moscuito racket
1682,food,snacks 4 shegaon kachori
1685,household,appliances inverter battery check
1686,food,milk milk 0.5 lit 
1687,subscription,mobile service provider mobile service provider recharge wfh
1688,food,grocery biscuits+icecream
1689,subscription,edtech course 
1690,food,grocery fruits and vegetables
1691,food,chocolate pastry 2
1692,food,tea yevle amrutullya
1693,food,milk milk 0.5 lit 
1694,food,lunch 2 uttapam
1695,food,water 
1696,food,lunch farm house pizza
1697,entertainment,movie imax 3d
1698,transportation,train place 0 to ws returns
1699,transportation,auto current residence to place 0
1700,transportation,auto current residence to place 0
1701,household,kitchen belan
1702,food,dinner 1 veg noodles + 1 chicken soup + 1 egg fried rice
1703,food,grocery fruits and vegetables
1704,health,medicine antibiotics
1705,food,grocery 1kg atta
1706,household,kitchen channi + viper+ ghasni
1707,food,dinner pizza meal
1708,health,hospital doctor fees
1711,food,grocery milk + butter + biscuits/toast
1712,food,dinner 1 chicken shawarma + 1 chicken lollipop - 1 veg cheese burger
1713,food,snacks 1 panipuri
1715,health,medicine strepsils 1 strip
1716,food,lunch veg fried rice
1718,subscription,edtech course emi 1
1719,food,grocery edible oil
1720,transportation,auto permanent residence to bus stand
1722,food,snacks 2 chips packets
1723,food,flour mill 1 sher bajri 1 kg dadar 1 kg makka
1724,subscription,tata sky 
1725,transportation,train ltt to place 2 (patna exp) cancellation
1727,food,grocery monaco biscuits
1729,subscription,mobile service provider mobile service provider recharge wfh
1731,transportation,train place 5 to place 1 sevagram
1733,transportation,train ltt to place 2 cancellation
1734,transportation,travels place 2 to place 1 - novelty tour and travels
1735,food,snacks 2 dabeli
1736,household,toiletries sensitive toothbrush
1737,food,snacks chips 1 kurkure (19) 1 lays (10)
1738,food,fruits 1 kg mosambi 1 kg apple
1742,subscription,mobile service provider mobile service provider recharge wfh
1743,food,vegetables 
1745,household,toiletries oralb toothbrush with cap
1748,health,hospital doctor fees
1749,health,medicine eye drop maxmoist
1750,food,ice cream chocobar
1753,subscription,mobile service provider mobile service provider recharge wfh
1754,food,grocery cheese cubes(2)
1760,food,vegetables gilke
1761,food,vegetables kadhipatta + 2 lemon
1762,food,vegetables kandyachi paat
1763,food,vegetables tomato
1764,food,vegetables onion 1 kg
1765,food,vegetables val + methi + lady finger
1766,food,vegetables carrets + brinjal + flower
1767,food,snacks 3 chips packets
1768,food,snacks pav bhaji pav 3 packets (8pcs each)
1769,food,fruits 8 bananas
1770,food,grocery colgate max fresh medium
1771,food,chocolate 2 milkybar
1777,subscription,mobile service provider mobile service provider recharge wfh
1778,subscription,mobile service provider mobile recharge sim 2
1780,household,appliances metz 32 inch tv
1782,food,ice cream mava 1 large
1784,subscription,mobile service provider mobile service provider recharge wfh
1785,transportation,auto within city
1786,health,medicine strepsils
1787,transportation,auto within city
1788,transportation,auto locality v to permanent residence
1789,food,chocolate poppins
1790,food,"eating out 3 parathe , 1 hara bhara kabab, 1 rabdi malai, 1 masala papad, 1 pepsi"
1791,transportation,auto within city
1792,food,water two water bottles
1794,transportation,auto ola auto - brc 
1795,transportation,bus place t to brc
1796,transportation,taxi share jeep - place t top to base (50/person)
1797,food,beverage lemon juice ( 20/person)
1799,transportation,ropeway ropeway place t to and fro (169/person)
1800,transportation,taxi share jeep - place t base to top (50/person)
1801,transportation,auto share auto - place h to place t base (20/person)
1802,transportation,bus bus - brc to place h ( 27/person)
1803,transportation,auto within city
1804,food,snacks single pav vada
1805,food,grocery lemons
1807,food,fruits apple + mosambi 1kg each
1808,transportation,travels veer travels - brc to place 2 ( 2 adults)
1809,transportation,travels kabra travels - place 2 to brc (2 adults)
1810,health,medicine mouth fresh
1811,food,snacks bombay vada pav
1812,transportation,auto permanent residence to bandhu prem
1818,subscription,netflix 1 month subscription
1819,food,eating out ice cream
1820,transportation,auto permanent residence to hospital
1823,entertainment,diwali firecracker
1824,food,grocery butter + frozen vatana+ 9 pan
1826,health,medicine medicine
1829,entertainment,diwali firecracker
1830,food,fruits mosambi 1kg
1833,entertainment,diwali mi band 5 ( bhaiduj gift)
1835,health,medicine syrup+tablet+ mortein refill
1836,transportation,auto permanent residence to pathology
1837,subscription,mobile service provider 
1839,food,grocery mehndi
1840,food,fruits apple + mosambi 1kg each
1841,health,medicine 
1842,food,snacks egg roll
1843,food,grocery popcorn+mehndi+mosambi+orange+all out refill
1844,food,grocery khari
1845,food,eating out pav vada
1846,food,grocery butter + paneer + pav+batate+tamate
1847,food,grocery 
1848,food,grocery sugar + biscuits
1850,food,grocery coconut
1851,food,grocery apple half kg+ mixer repair+flowers
1856,health,medicine 
1857,transportation,auto permanent residence to hospital to n fro
1858,food,grocery mosambi 1kg+ gavar pav kilo+lemon 3 + kothimbir
1859,shopping,grooming razor
1860,subscription,netflix 1 month subscription
1863,entertainment,navratri vargini
1869,food,milk 
1870,food,grocery chocobar+milk+chips
1871,subscription,mobile service provider 
1873,food,snacks brownie
1874,food,eating out riverdine date
1875,food,grocery bread
1876,food,milk half liter buffalo
1877,food,snacks vanilla ice cream cups 2
1878,food,grocery badishop
1879,food,milk half liter buffalo
1880,transportation,auto meghdoot to plaza
1883,food,milk 1lit buffalo milk
1884,food,beverage cold coffee
1885,food,grocery bread
1886,subscription,mobile service provider 
1887,food,eggs 1 dozen
1889,transportation,travels place 6 to place 2
1892,transportation,travels place 2 to mum
1893,subscription,mobile service provider 
1897,entertainment,ganesh pujan ganesh idol
1898,household,kitchen boric powder
1899,household,toiletries lizol
1900,entertainment,rakshabandhan rakshabandhan ovalni 
1902,entertainment,rakshabandhan rakshabandhan ovalni 
1904,subscription,mobile service provider 
1910,subscription,mobile service provider 
1920,subscription,mobile service provider 
1921,subscription,mobile service provider 
1922,subscription,mobile service provider mobile service provider recharge 365 days
1923,health,medicine citrizen + crocine
1929,subscription,mobile service provider 
1930,subscription,mobile service provider 
1937,transportation,travels chalisgaon to baroda return
1938,subscription,mobile service provider 
1939,subscription,amazon prime amazon prime subscription
1940,subscription,mobile service provider mobile service provider sim card porting
1941,food,snacks icecream
1942,food,grocery grocery
1945,food,eggs 
1946,subscription,mobile service provider 
1952,food,grocery biscuits + medicine
1955,food,water 1 jar
1957,transportation,auto permanent residence to lb road
1958,subscription,mobile service provider 
1959,food,grocery sanitary napkins+chocolates+maggie+khajoor
1961,transportation,auto permanent residence to nearby hospital
1962,food,grocery agarbatti + icecream pack
1965,subscription,mobile service provider 
1969,subscription,mobile service provider 
1972,subscription,mobile service provider 
1977,subscription,hotstar subscription
1978,food,grocery dettol handwash + khari + toast + goodday
1979,subscription,kindle unlimited kindle unlimited
1980,subscription,mobile service provider 
1981,household,toiletries sensodyne toothbrush
1982,subscription,mobile service provider 
1985,subscription,mobile service provider 
1986,food,grocery 
1990,subscription,ott platform subscription 1 yr
1991,subscription,mobile service provider 
1992,food,beverage rasna orange
1993,transportation,auto lb road to permanent residence
2000,subscription,kindle unlimited kindle unlimited
2001,subscription,mobile service provider 
2002,food,grocery sambhar masala
2005,subscription,mobile service provider mobile service provider recharge wfh
2006,food,grocery cheese cubes(2)+ neutralite butter
2012,subscription,mobile service provider mobile service provider recharge wfh
2016,food,snacks biscuits
2018,food,snacks  pedhe
2020,subscription,mobile service provider mobile service provider recharge wfh
2022,food,snacks  pedhe
2025,subscription,audible audible subscription
2026,food,snacks 5star (2)+munch(2)
2027,subscription,kindle unlimited kindle unlimited
2028,food,grocery biscuits
2029,food,grocery bread (10)+cadbury(10)+ cheese + myvaneese+pav bhaji masala
2030,transportation,auto within city
2031,health,health hand gloves 4 pairs
2035,subscription,mobile service provider mobile service provider recharge wfh
2036,food,grocery 
2042,subscription,audible audible subscription
2043,subscription,kindle unlimited kindle unlimited
2045,shopping,footwear slippers
2048,household,kitchen chalk for ants
2049,subscription,mobile service provider mobile service provider recharge wfh
2054,food, cake
2055,transportation,auto grandparents to permanent residence
2056,food, everest pav bhaji masala
2059,food, amul butter 100gm(4 pcs)
2060,food, cake + balloon (150)+caps(50+40)
2062,food, cake advance
2063,shopping,makeup hair cut+shaving+dye+facial
2066,shopping,footwear sliper
2067,household,kitchen dustbin bags
2070,food,eggs 
2071,health,medicine hand sanitizer
2072,health,medicine eye drop maxmoist
2073,transportation,auto within city
2074,transportation,auto station to permanent residence
2080,food,snacks cadbury 2 + chips 2
2083,shopping,footwear kolhapuri chappal
2084,shopping,footwear roadstar black fishermen sandals
2085,food,eggs 
2090,transportation,auto 
2091,transportation,auto 
2092,transportation,auto 
2093,food,snacks egg roll
2096,food,eggs 1 dozen
2099,food,eating out egg roll
2106,food,dinner 12 eggs
2108,transportation,auto permanent residence to nearby  hospital
2110,transportation,auto locality v to permanent residence
2111,food,snacks water bottle + khari sing
2112,transportation,auto b45 to pandya bridge
2113,food,tea 
2115,food,snacks sweats
2116,health,health face mask
2117,transportation,auto golden circle to b45
2118,shopping,grooming hair cut
2119,transportation,auto permanent residence to kacheri
2120,transportation,bus redbus - brc to place 2
2122,transportation,bus place 2 to brc travels
2124,household,kitchen sapat parivar tea half kg
2125,household,appliances plumber
2126,transportation,auto mandir to hospital
2130,shopping,clothing belt + socs
2131,transportation,taxi ola - place 1 to place 5 to and fro
2139,food,beverage cold coffee
2144,health,health 6 pairs of use and throw gloves
2145,health,health 2 n95 masks
2149,food,lunch chicken lollypop + biryani
2162,household,kitchen mixer philips 7756
2199,household,appliances electricity bill
2202,transportation,taxi br to mumbai
2204,food,fruits bananas 1 kg
2205,food,milk milk half shakti
2206,food,milk milk half shakti
2208,health,health n95 mask
2209,food,milk milk half shakti
2210,food,milk milk half shakti
2213,food,grocery onions
2214,food,milk milk half shakti
2215,household,toiletries sensodyne rapid fire
2216,health,health hand sanitizer + surgical gloves
2217,food,milk milk half shakti
2218,food,grocery gobi
2219,food,milk milk half shakti
2221,health,medicine limcee+
2224,food,grocery methi + palak
2225,food,milk milk half shakti
2227,food,grocery 
2230,food,milk milk half shakti
2231,food,grocery dahi
2233,food,milk milk half gold
2235,food,grocery eggs + bread
2236,food,dinner srikhand
2237,food,grocery snacks + veggie
2238,food,milk milk half gold
2240,food,grocery snacks
2244,food,grocery 
2245,food,grocery 
2250,food,grocery 
2251,food,grocery 
2255,food,grocery toothbrush + biscuits
2257,health,medicine kala hit
2258,food,grocery 
2260,food,milk 
2261,food,grocery 
2263,shopping,laundry dry cleaning
2264,health,hospital dentist check-up
2265,household,kitchen cooker ring
2266,food,snacks samosa+tea+veg cheese grill sandwich
2267,food,lunch dal fry and chapati
2268,food,breakfast aloo paratha
2269,food,milk 
2271,health,hospital dentist check-up
2272,food,tea 
2273,shopping,clothing altering
2274,food,milk shakti + bread
2276,shopping,laundry ironing
2277,food,milk 
2278,transportation,auto to office
2279,health,hospital root canal due
2280,food,tea 
2282,food,tea 
2283,transportation,train train - ddr to brc cancellation charges
2285,transportation,train train - brc to ddr cancellation charges
2286,transportation,train place 0 to bandra
2287,transportation,auto current residence to place 0
2288,transportation,auto bandra to bandra terminus
2293,transportation,auto b45 to brc
2294,food,beverage orange juice
2295,transportation,auto to office
2297,shopping,grooming 
2298,food,beverage mosambi juice
2303,health,medicine painkillers
2304,health,hospital root canal advance
2305,food,tea 
2308,health,medicine painkillers
2309,health,hospital dentist check-up
2310,food,lunch canteen lunch
2311,transportation,auto to office
2312,food,breakfast 2 uttapam
2313,food,fruits bananas
2314,food,dinner at restaurant
2315,food,lunch chicken manchow soup
2316,food,tea 
2318,food,milk 
2319,food,lunch chicken thali
2320,food,tea 
2321,food,tea 
2322,transportation,auto office to vasna road
2323,food,grocery eggs
2324,food,milk 
2325,food,grocery vegetable
2326,transportation,auto ola auto - brc to b45
2327,food,tea 
2328,transportation,auto bandra to bandra terminus
2329,transportation,train place 0 to bandra
2330,shopping,footwear shoe polish
2331,transportation,train to and fro mum to brc
2333,health,health face mask
2334,health,medicine koflet
2335,food, milk 1lit 
2336,food, dinner
2337,food, kaju katli 250gm
2338,transportation, local - place 0 to place 5 return
2339,household, mixer repair
2341,food, pani puri
2342,transportation, local - vadala road to place 0
2343,transportation, taxi - dadar to vadala road
2344,food, tea
2345,food, bread
2346,food, chana chat + tea
2347,food, milk half shakti
2348,food, kurkure
2349,food, tea
2350,food, tea
2351,food, paneer 150 gm
2352,food, bread pakoda + tea
2353,food, grocery
2354,food, tea + kachuri
2355,food, tea
2356,food, paneer
2357,food, farsan + khari sing
2358,transportation, train - brc to mmct
2359,food, egg fried rice
2362,food, tea + biscuits
2363,food, tea
2364,food, water jar
2365,food, bhel
2366,food, snacks
2367,food, grocery
2368,food, tea
2369,food, milk half shakti
2370,food, 12 eggs
2371,food, tea
2372,food, grocery
2374,food, chana chat + kachori
2377,food, milk half shakti
2378,food, 5 eggs
2379,food, milk half shakti
2380,household, electricity bill
2381,shopping, undergarments
2382,food, bananas
2383,food, bhindi
2384,transportation, auto - genda circle to b45
2385,food, dinner treat
2386,food, milk half shakti
2387,food, good day biscuits
2388,food, samosa
2389,food, chana chat
2390,food, tea
2391,food, milk half shakti
2392,food, paav
2393,food, grocery
2394,shopping, hair cut
2395,food, tea
2396,food, tea
2397,food, snacks
2398,food, grocery
2399,household, broom
2400,food, samosa + 2 tea
